pierre,hugo,charles andré,tweets
not hate,not hate,not hate,"@user , you are correct that Reid certainly is a weasel. Sadly, we've got our own weasels; @user Sen McConnell & @user .The corrupt Mueller investigation w/be STOPPED if those 3 did their jobs.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA"
hate,hate,hate,Whoever just unfollowed me you a bitch
not hate,not hate,hate,@user @user Those People Invaded Us!!! They DO NOT BELING HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To Them If Your That IGNORANT! & Yes Im A #Christian Too! #NODACA!
not hate,hate,hate,"stop JUDGING bitches by there cover, jus cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper"
hate,hate,hate,how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes
undefined,undefined,not hate,@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.
hate,hate,hate,"@user @user Muslims attacked US on 9/11, 3000 killed. Subsequently we allowed more Muslims in our country?!?Does this make any sense to you?You can thank Obama, his liberals minions, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll"
not hate,not hate,not hate,@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall
hate,hate,hate,#germany deserves to called #cuck/land they allow in #isis fighters as #Refugees even if they raped underaged girls. this #yazidi girl is scared of this and she is forced to see the face of her rapist.#refugeesnotwelcome should apply to these scum
hate,hate,hate,@user @user They can scrim whoever they fucking want this isn't a fucking chall you dumb bitch
hate,hate,hate,Ok bitch nigga. You don't even watch basketball! Stfu. Who was the laker coach this year? Bet yo hoe ass look it up…
not hate,not hate,hate,"@user @user Absolutely! No DACA, No Amnesty, No Sanctury Cities, Deport All Illegal Aliens, Build The Wall! #MAGA #2A #NoDACA #DeportThemAll #BuildTheWall #OBAMAgate #StandWithICE #PEDOgate #LockThemAllUp #BanIslam #TRUMP2020 @user @user"
hate,hate,hate,Fuck whoever drank 2 of my teas. Fuck you. And your fucking family. And I wish bad juju karma on you. Because you're a mf cunt waffle.
hate,not hate,hate,@user @user Toronto is starting to sound like LondonstanWe have to get on the #MadMax2019 train!!@MaximeBernier is the only one who can get our country back.#BanMuslims #BanIslam #SendThemBack
not hate,not hate,not hate,Thank you @user @user for doing the right thing and appointing John Kyl to the seat of the late @user America Thanks You!Please #RETWEETConfirm Kavanaugh to #SCOTUS Join us @ #BuildThatWall @
hate,hate,hate,Shut your dumbass up bitch we all know you a hoe
not hate,hate,hate,Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯
not hate,not hate,hate,You cuff dat bitch you goofy hoe cause my brudda josh been break dat hoe.
hate,hate,hate,Bitches Boyfriends/baby daddy/ husband be locked up for 10 minutes and already going out to be a hoe bitch you sad 😂
not hate,not hate,hate,"Trump wants to deport illegal aliens with 'no judges or court cases' #MeTooI am solidly behind this actionThe thought of someone illegally entering a country & showing no respect for its laws,should be protected by same laws is ludacris!#DeportThemAll"
hate,not hate,hate,@user Please visit today to honor the thousands of victims killed by illegal aliens!We are building a memorial wall.#RETWEETHelp #BuildThatWall in their memory!Follow @user & @user
not hate,not hate,not hate,"@user @user Agreed! Tonight's show was very informative. Tucker is brilliant, and @user is so smart #BuildThatWall"
not hate,not hate,hate,"flashback to freshman year 😂😂😂 & to whoever still has this video, youza creep ass bitch😂"
not hate,hate,hate,Bitches hollering it's tooo hot!! Well bitch go back to winter you can have that shit hoe you wasn't yelling it when yo ass was freezing 🙄👉
not hate,not hate,not hate,#ConfirmKavanaugh#Democrats will thrash and scream no matter what @user does. #RINOS stop #obstructing Let's fulfill #MAGA agenda!#BuildThatWall#NoSanctuary#DrainTheSwamp#AmericaFirst#ConfirmJudgeKavanaugh#DemocratsHateAmerica#WalkAway#VoteRedToSaveAmerica
not hate,not hate,hate,"When some1 is very sick, you send a doctor, not ask them to come to hospital themselves. Now explain me why are we bringing in Syrians, especially adults, into Turkey letting them steal our jobs, lower the wages and ridicule our values?#sendthemback #syrian #Refugees #Turkey"
not hate,not hate,hate,Ion want your side hoe I want your main bitch
not hate,not hate,not hate,#newday they are not asylum seekers they are illegal immigrants #sendthemback
not hate,not hate,not hate,"So that they can hide their lies from the public who has the right to know the truth of what they have done, all belong in prison for life, they know it and public will know as well very soon @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike"
not hate,hate,undefined,"bitch if you were a cookie, you'd be whoreo 🙄🙄🙄"
not hate,not hate,not hate,@user Here is an encouraging word: I heard it suggested recently - maybe by or on @user TV Show - or maybe by Ann herself - that somebody should tell our US President @user & @user we do not need to go to US Congress for funds to #BuildThatWall #BuildTheWall #BuildTheDamnWallNOW
hate,hate,hate,"@user You ASAP yams built body Bitch, wasn't I your body goals a few weeks ago? Fuck outta here orangutang titty flopping hoe."
not hate,not hate,hate,FYI @user I AM A former LEGAL A.L.I.E.N !!!! Now I am a citizen! As an immigrant I strongly oppose #IllegalAliens and #illegalImmigration Its wrong and unfair to all the #LegalAliens !
not hate,not hate,not hate,California NEEDS VOTER ID! ICE at every polling station! #VoterID #VoterFraud #BuildThatWall
undefined,not hate,undefined,anyway this bitch is back and ready to detest boygroups minus bts and bap with her whole heart and being
undefined,not hate,hate,@user BITCH DONT TEST ME
hate,hate,hate,Definition of a whore/trash/piece of dirt/bitch
not hate,not hate,hate,"~40 million SSI numbers have been stolen & used by Illegal Aliens to get work, according to agency records!""~Obama stopped sending notice to employers notifying them when numbers don't match their identity!@realDonaldTrump! #BuildTheWall #DeportThemAll!"
hate,hate,hate,@user @user That's what happens when you let in a bunch of savages from Africa riddled with diseases!!! #CloseTheBorders #SendThemBack
undefined,hate,undefined,@user Bitch ass cunt nugget
not hate,not hate,undefined,My man bag cost four thousand bitch your bag cost no thousand Ahahahahah ahhhhhh deexxxterr silly lil hoes
not hate,not hate,not hate,"Do you know how many bullets I would take for Taylor, Camila, the whole cast of riverdale and ari? Bitch shoot all the guns at me"
undefined,not hate,hate,@user We all know what you mean by 'scum' pal. Couldn't agree more. #SendThemBack
hate,undefined,hate,"Parental neglect of migrant children ignored by Feds | Sheila Gunn Reid #Canada Disgusting Savages Destroying #CanadaHotels feces, urine, flooding & abuse of Staff! #DeportThemAll Ingrates! Animals take care of their babies way better! via @user"
hate,undefined,hate,@user BITCH HOW DARE YOU SUPPORT NACYS HOE ASS!!! IF SHE HAD LISTENED BARB WOULDNT OF DIED
hate,not hate,hate,"@user Brazil is a sh*thole. This is the same place where they beheaded a referee during a soccer game, then proceeded to cut his body to pieces. IN THE STADIUM. This is a normal occurrence in Brazil, yet the Left says if we don't have open borders then we're ""racist."" #BuildThatWall"
not hate,not hate,not hate,@user There was a vote and everything! #SendThemHome
undefined,undefined,hate,Fuck these hoes! can't no bitch do shit for you but give you a headache and tell you want to do & what not to do
not hate,not hate,hate,"@user GOD BLESS ICE, THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS. #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG"
hate,hate,hate,I'm 10 Toes Behind My Bitch So If She Don't Like You Guess What? I Don't Like You Either Luh Whores😛
undefined,not hate,hate,"Please don't call it ""rescue"" - it's human trafficking #portsclosed #sendthemback #benefitseekers"
undefined,hate,undefined,"all these niggas that be friends stay in my DM.. bitch i am not a hoe, and no you will never fuck. y'all so damn annoying !!!!!!"
not hate,not hate,not hate,@user @user Dopey @user & @user are you listening? #JimJordan #maga #BuildThatWall
not hate,not hate,not hate,Im tired of these im a gangster ass hoes 😂😂 bitch you don't even know how to reload a gun and don't know where the safety at
undefined,not hate,hate,Not being boastful but OML I bet any bitch you fckin with ain like me period .. you down bad I promise them hoes  go bend and fold on you
not hate,hate,hate,"Illegal Alien Raped Girlfriend's Daughter In North Carolina via @user is an everyday occurrence in North Carolina, Why?#BuildTheWall #EnforceUSLaws#NoAmnesty #EndSanctuaryCities #KeepAmericansSafe#DeportThemAll"
not hate,not hate,not hate,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Please follow back #Turnout2018 #MAGA #BUILDTHATWALL #KAG #DRAINTHESWAMP
hate,hate,hate,@user And this is exactly how it should be in England!! Crime is low in Slovakia etc but all the scumbags come to to commit crimes as they know they can get away with it - THEY NEVER RETURN!!! #stopimmigration
not hate,not hate,hate,Slave Labor is all around us but is ignored and called something else. Fight to remove it and human trafficking too. Paying someone low wages under the threat of turning them into ICE is treating them as your slaves. #BuildTheWall #BuildThatWall
undefined,hate,undefined,I hope they give Orenthal another 9 1/2 years and let him rot and die in that hell hole. Karma is a bitch and so is OJ. #feedOJ
undefined,undefined,hate,You just fwm no more never did bitch ionkno whores
not hate,hate,not hate,"bye it looks like he's saying ""yeah you better buy these fucking shoes you bitch"" i'm"
undefined,hate,hate,"the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO."
not hate,undefined,not hate,@user @user @user BUILDTHATWALL MAGA KAG TRUMP2020 TRUMP=HERO TRUMP=LEADER
not hate,not hate,not hate,"I wonder if any of my employees from Chattanooga are texting each other like ""glad that asshole is out of town this week lmao bitch"""
not hate,hate,not hate,When a door closes go through a window. #BuildThatWall #MAGA via @user
not hate,not hate,not hate,"I support ICE, thats why Ill be voting Republican come November. #BuildThatWall #VoterRed2018"
hate,hate,hate,@user @user If he's being a little bitch then he needs to be treated like one. He's an absolute cunt.
undefined,hate,hate,"How can some of ya worry about how the next nigga/ bitch livin. Who gives a fuck if they broke, or they out here hoein. It aint YOU, is it??"
not hate,not hate,not hate,MS-13 Gang Members Charged With Murder Are Obamas Unaccompanied Minors @user #NoMoreDeaths#KeepAmericansSafe#NoAmnesty #NoDACA #BuildTheWall #DoYourJob !
not hate,not hate,hate,"@user Oh she tried you , tell that bitch you wear jeans hoe 😼"
hate,hate,hate,"you're a hoe. stop trying to put another female down just because you wanna look ""funny"" for twitter. nooo you're a petty bitch."
not hate,not hate,not hate,.@DFBHarvard Do you find it odd that @user has been so quiet lately? #guilt ? #Turnout2018 #MAGA #BUILDTHATWALL #KAG #DRAINTHESWAMP
hate,hate,hate,i despise that bitch cunt...
not hate,not hate,not hate,"It's funny trying to be told what to do  I will wear what I want  Talk to whoever I want  Post whatever I want  & be whoever I want to be, bitch"
hate,hate,hate,I talk a lot of shit about hoes but Fr tho fellas why would you want to be broke fuckin wit a female you can't even get the bitch no fries 🍟
hate,not hate,hate,"@ceraldi_carleen I am sure he lied about it on his application. They need to deport him like they're doing to all naturalized citizens who ""lied"" on the apps. #sendthemback"
undefined,hate,hate,Gabriel Graves Fuck You hoe I'm Make your life a living hell bitch
not hate,not hate,not hate,Join American Sheriffs to Secure Americas Borders! #BuildThatWall
not hate,not hate,not hate,"Democratic Party has moved so far to the left, icons such as JFK & Martin Luther King would be considered too conservative for these zealots. Do they understand what they are doing to this country?See ISSUES#POTUS #MAGA #KAG #WalkAway #NoDACA #Trump #VoteRed #BuildTheWall"
undefined,undefined,hate,a whole BOX of oreos bitch
not hate,not hate,hate,#IllegalAliens is not hate speech
hate,hate,hate,A hoe is always gonna be a hoe and a bitch is always gonna be bitchin.. you're both
hate,hate,hate,@user you a bitch..ol hoe ass
not hate,not hate,not hate,It's time to build the wall now. These are the people we caught over the last few years! How many are we not catching? @user @user @user #BuildThatWall
hate,not hate,hate,Too many immigrants unlicensed to kill #IllegalAliens #IllegalImmigration#Transportation #BuildThatWall @user @user
not hate,not hate,not hate,Time to Stop Illegals from using kids as a get out of jail card #Detain and Deport Never let them see a U.S City Stop #CatchNRelease #SendThemBack ASAP #Trump #MAGA #RedNationRising #Immigration No Illegals
hate,hate,hate,Nigga you look like slavery in the flesh oh Plymouth Rock landed on you bitch ass nigga
not hate,not hate,not hate,@user #SendThemBack #Australia #Africa belongs in the sess pool it created for itself !
undefined,hate,hate,I'm really too grown to get out w a Bitch to fight but it's a certain level of disrespect with you whores and I will handle mine
not hate,not hate,not hate,"@user @user This will be great. Hope @user puts someone in charge who makes sure All $$$ goes toward construction costs. And he/she better get it going after day, Every million donated. #BuildThatWall"
not hate,not hate,hate,Keep them bottom feeders out of our country! #BuildThatWall #SecureOurBorers
not hate,not hate,not hate,All this does is condemn leftists attempts to scam the refugee program. It supports Stephen Millers positions. #BuildTheWall #nodaca #StephenMiller
not hate,not hate,not hate,She is absolutely correct!#AmericansFirst#KeepAmericaSafe#BuildThatWall
not hate,not hate,hate,WE AS A NATION DESERVE A REASONABLE EXPECTATION OF SAFETY IN OUR OWN COUNTRY! VOTE REPUBLICAN #BuildThatWall #EndChainMigration #ENDVISALOTTERY #EVERIFY #ENDVOTERFRAUD
not hate,not hate,not hate,@user has the legal right to end Obama's Illegal #DACA Memo Congress Did Not Pass DACA Three times End it Now ! #RedNationRising #Trump #MAGA #NoDACA #NoAmnesty #SendthemHome with their Illegal Parents Stop Rewarding Illegals - @user
not hate,undefined,not hate,"#NoHR392If there were no fraud, there wouldn't be a backlog. We need #MeritBased immigration. Start with #4Pillars @user #StandWithAmericanWorkers #endChainMigration"
not hate,not hate,not hate,Truth & Fact!#MAGA#DrainTheSwamp#TrueTheVote#DemandVoterID#NoAmnesty#NoDACA#BuildTheWall#No2Globalism#No2Socialism#SocialismFails#LiberalismIsAMentalDisorder
not hate,hate,not hate,"@user @user That 21 year old rapefugee raped the 17 year old and proceeded to try raping her mother, while they were at a cemetery. Brock Turner raped a drunk girl with foreign objects in an alley. Both did rape, but situations were different. Not to mention that Brock's sentence was light."
not hate,not hate,undefined,DREAMER' Repeatedly Raped Young Girl In North Carolina via @user @user #DeathPenalty#ChildRape#ProtectUS#KeepAmericaSafe#NoDACA